player_id,games_played,total_minutes,total_points,fg_att,fg_made,three_att,three_made,free_att,free_made,off_rebound,def_rebound,assists,steals,blocks,turnovers
198,80,35.6,22.9,15.7,8.2,2.3,0.6,7.7,5.9,1.8,7,5.4,1.6,1.9,2.9
199,81,22.5,11.7,9,4.8,0,0,3,2.2,2.1,4.5,2.3,1.1,0.5,1.7
200,51,33.9,20.1,16,7.8,3.5,1.3,4.3,3.2,1.5,4.6,2.8,1,0.4,1.8
201,74,18.4,4.1,3.3,1.4,2.3,1,0.4,0.3,0.2,1.2,1.3,0.6,0.3,0.5
202,58,19.4,6.8,5.3,2.7,0,0,1.8,1.3,1.6,3.5,1,0.5,1.3,0.9
203,29,30.7,14.7,11.5,5.2,3.6,1.6,3.2,2.8,0.4,3.9,3.4,1.4,0.2,2.2
204,75,26.4,10.2,8.5,3.9,2.6,1,1.7,1.5,0.6,2.2,4.2,1.1,0.2,1.5
205,76,26.1,7.6,7,2.7,2.8,1,1.3,1.1,0.3,1.6,4.7,0.7,0,1.8
206,56,16.7,9.4,7.3,3.9,0.8,0.3,1.9,1.4,0.7,2.7,0.9,0.5,0.5,1.2
207,32,9.7,2.6,2.1,0.9,0,0,1.1,0.7,0.7,0.9,0.6,0.3,0.3,0.7
208,70,16.2,6.4,6,2.2,4.4,1.5,0.6,0.5,0.2,2.2,0.7,0.2,0.2,0.5
209,41,11.2,3.5,3.8,1.4,2,0.6,0.1,0,0.1,1.1,0.6,0.5,0.2,0.3
210,19,9,4.4,3.1,1.6,1.4,0.5,0.9,0.7,0.3,2.1,1,0.1,0.2,0.5
211,8,2.7,0.6,0.9,0.3,0.8,0.1,0,0,0,0.4,0,0,0,0
212,57,9.9,4,3.2,1.5,1.3,0.5,0.9,0.6,0.7,1.3,0.4,0.2,0.5,0.3
213,80,29.2,8.5,6.8,3.1,4.4,1.8,0.7,0.6,0.3,2.8,1.2,0.7,0.2,0.7
214,13,6.9,0.8,1.1,0.2,0.2,0,0.7,0.4,0.3,0.8,0.5,0.4,0.1,0.3
215,63,33.9,18.2,11.9,5.3,5.1,2,6.1,5.5,0.6,4.5,2.1,0.6,0.2,1.3
216,41,15.6,6.4,5.2,2.3,2.9,1.3,0.5,0.5,0.6,2.1,1,0.5,0.5,0.9
217,55,25.6,11,10,3.8,3.2,1,3,2.4,0.5,2.7,3.9,0.7,0.2,2.2
218,57,31.3,14.9,11.2,5.6,4.5,1.9,2.4,1.8,0.8,2.3,2.9,1.2,0.1,1.3
219,82,21.5,9.9,8.9,3.6,4.2,1.4,1.5,1.3,0.5,2.1,2.1,0.6,0.3,1.4
220,75,27.3,9.2,8.1,3.6,3.6,1.4,0.8,0.6,0.4,2.2,5.1,0.7,0.1,1.7
221,2,3.3,1.5,0.5,0.5,0,0,1,0.5,0.5,0.5,1,0.5,0,0
222,7,6.6,2.9,2.1,1,0.4,0.3,0.6,0.6,0.7,0.9,0.3,0,0.1,0.4
223,62,13.6,4.9,3.6,1.6,1.8,0.7,1.2,0.9,0.7,2.3,0.5,0.5,0.2,0.5
224,61,21.2,9.6,6.8,3.7,0.1,0,3.1,2.1,3,4.6,0.9,0.7,0.7,1
225,22,7.5,3.8,3.3,1.5,1.3,0.4,0.5,0.4,0.2,0.5,0.5,0.3,0,0.4
226,20,7.5,1.4,1.2,0.5,1,0.4,0.1,0.1,0.1,1.8,1.1,0.1,0,0.7
227,73,27.9,16.7,11.7,6.8,1.9,0.6,3.1,2.6,2.9,6.9,4.9,0.8,0.8,2.3
228,6,1.8,0.7,0.5,0.3,0,0,0,0,0.2,0.2,0.2,0,0.3,0.2
229,60,28.4,13.7,11.1,4.9,3.9,1.5,3.2,2.4,1,3.4,3.4,0.8,0.5,1.6
230,71,30.9,15.7,13.2,6.1,4.6,1.5,2.7,2,1.5,5,2,0.7,0.4,1.6
231,68,15.5,6,5,2,3.6,1.4,0.7,0.6,0.3,1,0.6,0.5,0.1,0.5
232,79,30.1,6.6,5.9,2.7,2.3,0.6,1.4,0.6,1.2,3.9,1,1.2,1,0.6
233,40,15.7,5.8,5.6,2.2,3,0.9,0.7,0.6,0.3,0.5,0.5,0.6,0.1,0.2
234,20,16,5.3,6.5,2.2,2.6,0.8,0.2,0.2,0.1,1.5,2,0.5,0.2,0.8
235,81,20.1,5.9,5.9,2.4,2,0.6,0.8,0.5,0.6,3,1,0.5,0.4,1
236,22,19.5,6.6,5.6,2.5,2.6,1,0.8,0.5,0.3,2,0.6,0.1,0,0.3
237,72,21.3,14.3,10.2,5.6,0.5,0.1,4,3.1,2.7,4,0.9,0.4,0.5,1.7
238,50,14.8,5.7,4.9,2.2,1.6,0.5,1.2,0.7,1,2.6,1,0.4,0.1,0.8
239,2,15.4,7,5.5,3,2,1,0.5,0,2,2.5,1.5,0,1.5,0
240,32,12,2.8,2.6,1.1,1.2,0.2,0.5,0.4,0.3,1.3,0.3,0.2,0.2,0.3
241,20,6.4,1.7,1.2,0.7,0.1,0,0.4,0.3,0.5,1.1,0.6,0.1,0.1,0.2
242,13,9.6,3.3,4,1.2,1,0.2,0.8,0.6,0,0.8,1.1,0.6,0,0.5
243,81,34.6,31.6,24,10.2,7.2,2.5,10.4,8.8,1.7,9,10.4,1.6,0.4,5.4
244,64,15.2,2.9,3.5,1.2,1,0.2,0.5,0.3,0.3,1.1,2,0.4,0.1,0.7
245,80,29.9,11.3,8.2,4.7,0,0,3.2,2,3.5,4.2,1.1,1.1,1,1.8
246,23,21.2,9,7.8,3.9,0,0,1.7,1.2,1.7,2.8,0.6,0.6,0.7,1.2
247,67,33.2,15.9,13.9,6.1,5.3,1.9,2.3,1.7,0.6,3.8,2.6,1.2,0.3,1.8
248,61,29.1,8.7,7.6,3,3.5,1.1,2.2,1.6,1.3,6.1,1.6,1,0.7,1.5
249,79,28.5,10.7,8.2,3.8,3.8,1.7,1.6,1.3,0.2,2.6,1.2,0.7,0.3,0.8
